동물원에 소는 없을껄여.	동물원에 소는 없을걸요.
대규모 댐이 건설로 인한 환경변화에 이 지역 생물들이 적응을 하지 못하고 있는 것으로 보고되었다.	대규모 댐의 건설로 인한 환경 변화에 이 지역의 생물들이 적응을 하지 못하고 있는 것으로 보고되었다.
발로 페달을 밟아 기계를 움직이면 밧줄을 맨 나무막대의 탄력에 의해서 제자리로 되돌아가게 하는 운동이 궁리되어있었다.	발로 페달을 밟아 기계를 움직이면 밧줄을 맨 나무 막대의 탄력에 의해서 제자리로 되돌아가게 하는 운동이 궁리되어 있었다.
노래방에서 하루 종일 노래를 불러 봤어요.	노래방에서 온종일 노래를 불러 봤어요.
뱌람이 날씨를 더 춥게 해요.	바람이 날씨를 더 춥게 해요.
영수씨 지금 선생님께서 뭐하세요.	영수 씨 지금 선생님께서 뭐 하세요.
왕밍씨가 앤디 씨에게 책을 받았어요.	왕밍 씨가 앤디 씨에게서 책을 받았어요.
철수 키가 너만 같아도 축구선수를 한다고 했을거야.	철수 키가 너만 같아도 축구 선수를 한다고 했을 거야.
내 생각에도 그럴것 같다.	내 생각에도 그럴 것 같다.
언니는 남자친구와 아주 잘 어울립니다.	언니는 남자 친구와 아주 잘 어울립니다.
외국이 저가 수출공세릉 펴는 데에 대해서는 반감핀 관세를 부과하는 들 산업피해 구제제도를 활용해 대처해야한다.	외국이 저가 수출공세를 펴는 데 대해서는 반덤핑 관세를 부과하는 등 산업피해 구제제도를 활용해 대처하여야 한다.
어머니께서 어제부터 많이 아프시군요.	어머니께서 어제부터 매우 아프시군요.
외국인이 읽기에 좋은 책이더군여.	외국인이 읽기에 좋은 책이더군요.
구청장 후보는 국민들에게 지하철을 건설하는 데에 대해 10호선을 건설하겠다고 공약을 내놓았다.	구청장 후보는 구민들에게 지하철을 건설하는 데 대해 10호선을 건설하겠다고 공약을 내놓았다.
IMF 이후에 대졸 신입사원들은 회사에 대해 뼈빠지게 일한 뒤에 겨우 쥐꼬리만한 봉급을 받았다.	IMF 이후의 대졸 신입 사원들은 회사에 대해 뼈빠지게 일한 뒤에 겨우 쥐꼬리만한 봉급을 받았다.
될수있는 한 거짓말은 하지 마세요.	될 수 있는 한 거짓말은 하지 마세요.
몸에좋은 주스니까 어서 다 마셔요.	몸에 좋은 주스니까 어서 다 마셔요.
플라톤은 장차 사회의 지도계급이 될 수 있는 유망한 청년들을 육성하기 위해 그 생애를 바쳤다.	플라톤은 장차 사회의 지도 계급이 될 수 있는 유망한 청년들을 육성하기 위해 그 생애를 바쳤다.
제가 살던곳은 하루에 버스가 두대밖에 오지 않는 시골이였어요.	제가 살던 곳은 하루에 버스가 두 대밖에 오지 않는 시골이었어요.
그날 그에 의해 열거된 사건들은 하나같이 명확한 해결이 되었다고 보기 어려운 강력 범죄들이었다.	그 날 그에 의해 열거된 사건들은 하나 같이 명확한 해결이 되었다고 보기 어려운 강력 범죄들이었다.
샤오잉씨의 얼굴이 빨갛니까 사과 같아요.	샤오잉 씨의 얼굴이 빨가니까 사과 같아요.
한국어 시험에 합격하려면 더 열심히 공부했어야? 어요.	한국어 시험에 합격하려면 더 열심히 공부했어야 됐어요.
앤디씨는 왜 나에게로 왔어요.	앤디 씨는 왜 나에게로 왔어요.
술에 취한 젊은 녀석들이 술집 주인에게 술값이 나온 것에 대해 너무 비싸다고 깽판을 부렸다.	술에 취한 젊은 녀석들이 술집주인에게 술값이 나온 것에 대해 너무 비싸다고 깽판을 부렸다.
할머니는 짐을 들어준 데에 대해 소녀에게 팔다 남은 옛날 이야기를 해주는 것으로 신세를 갚겠다고 하셨다.	할머니는 짐을 들어 준 데 대해 소녀에게 팔다 남은 옛날 이야기를 해 주는 것으로 신세를 갚겠다고 하셨다.
저는 무슨일이 있더라고 꿈을 포기하지 않을거에요.	저는 무슨 일이 있더라도 꿈을 포기하지 않을 거예요.
지난 한 해 동안에 우리집 지출을 총 결산을 해보고 나서야 우리가 꽤 많은 돈을 벌고 있다는 것을 알게 되었다.	지난 한 해 동안의 우리집 지출을 총결산해보고 나서야 우리가 꽤 많은 돈을 벌고 있다는 것을 알게 되었다.
그는 기자에게 다시 선수생활을 시작할 것인지에 대해 그럴 일은 없을 거라고 말을 뱉었다.	그는 기자에게 다시 선수 생활을 시작할 것인지에 대해 그럴 일은 없을 거라고 말을 뱉었다.
이번여름에는 비가 덜 오면 좋을텐데.	이번 여름에는 비가 덜 오면 좋을 텐데.
가방에 책이 마니 들어있어서 무겁지여어.	가방에 책이 많이 들어 있어서 무겁지요.
그 외교관은 이 사건을 계기로 국제무대에서 계속 활동을 하는 것에 존막을 고하게 되었다.	그 외교관은 이 사건을 계기로 국제 무대에서 계속 활동을 하는 것에 종막을 고하게 되었다.
너무 놀라 심장이 터질듯 울려데고 문고리를 잡은 두 손이 달달 거려 슬금슬금 뒷걸음질 치게 했다.	너무 놀라 심장이 터질듯 울려대고 문고리를 잡은 두 손이 달달거려 슬금슬금 뒷걸음질을 쳤다.
형인데 동생만큼도 가족 새각을 안해요.	형인데 동생만큼도 가족 생각을 안 해요.
마이클씨가 8월부터 9월까지 여행을 갑니다.	마이클 씨가 8월부터 9월까지 여행을 갑니다.
수사부는 비자금 조성에 그룹 회장이 직접 관여돼 있는 것으로 보고 다음 주 중 소환해 조사하기로 했습니다.	수사부는 비자금 조성에 그룹 회장이 직접 관여돼 있는 것으로 보고 다음주 중 소환해 조사하기로 했습니다.
영수 씨가 머리를 짧게 잘라서인지 더 어려보여요.	영수 씨가 머리를 짧게 잘라서인지 더 어려 보여요.
진달래는 다 지고 물이 간 꽃송이 몇 개만 지친듯이 달고 있는 오죽 작은 나무들이 고작이었다.	진달래는 다 지고 물이 간 꽃송이 몇 개만 지친듯이 달고 있는 오죽잖은 나무들이 고작이었다.
인지과학의 기본 관심사는 결국 인간 두뇌의 구조와 작용을 이해하고 이를 형식화하려는데 있다.	인지과학의 기본 관심사는 결국 인간 두뇌의 구조와 작용을 이해하고 이를 형식화하려는 데 있다.
그 식당 앞에는 항상 사람들이 줄을 서있던데 정말 맛있나봐요.	그 식당 앞에는 항상 사람들이 줄을 서 있던데 정말 맛있나 봐요.
북경에는 한 선교사가 본지의 기자에게 탈북자 일행이 안전한 곳에서 은신 중이라고 전해주었다.	북경에는 한 선교사가 본지의 기자에게 탈북자 일행이 안전한 곳에서 은신중이라고 전해주었다.
민주화인사들은 독재정권으로부터 민주화 운동에 대해 공산주의를 돕는 이적행위라고 탄압을 당했다.	민주화 인사들은 독재 정권으로부터 민주화 운동에 대해 공산주의를 돕는 이적행위라고 탄압을 당했다.
에이즈 바이러스를 보균하고 있는 그는 오페라 연출 10년만에 유럽에서 가장 총망받는 연출가로 발돋움했다.	에이즈 바이러스를 보균하고 있는 그는 오페라 연출 10년 만에 유럽에서 가장 촉망받는 연출가로 발돋움했다.
줄리아씨가 일어나라니 일어났어요.	줄리아 씨가 일어나라니 일어났어요.
왕밍씨는 김치를 만들지 못해여.	왕밍 씨는 김치를 만들지 못해요.
밥이던가 빵이던가 아무거라도 먹을거잇으면 좀 주세요.	밥이든가 빵이든가 아무거라도 먹을 거 있으면 좀 주세요.
저는 학생인데 제 친구는 회사원이예요.	저는 학생인데 제 친구는 회사원이에요.
이 식당에 음식이 맛있을 것 같아요.	이 식당의 음식이 맛있을 것 같아요.
중학생이 되면 교복을 입을 걸요.	중학생이 되면 교복을 입을걸요.
시험 끈나고 머할래에여?	시험 끝나고 뭐 할래요?
입실을 앞둔 학생들은 공부한다고 늦게 집에 돌아가곤 했다.	입시를 앞둔 학생들은 공부한다고 늦게 집에 돌아가곤 했다.
수영할때는 입으로 숨을 쉬어여.	수영할 때는 입으로 숨을 쉬어요.
오늘 바쁜가 봐요? 아침 일찍 나올게요.	오늘 바쁜가 봐요? 아침 일찍 나오게요.
아직까지 부모님에게 용돈을 받는 한 독립했다고 할 수 없다.	아직 부모님께 용돈을 받는 한 독립했다고 할 수 없다.
우리 주말에 영어를 보러 갈까요?	우리 주말에 영화를 보러 갈까요?
무더위 탓에 공부를 할 수가 없다.	무더위 탓에 공부할 수가 없다.
이는 보색인 푸른색 계열을 차단시킴으로써 하늘색이나 바닷물색 등 푸른색을 검게 표현시켜 준다.	이는 보색인 푸른색 계열을 차단시킴으로서 하늘색이나 바닷물색등 푸른색을 검게 표현시켜 준다.
피곤한데 침대에 누울까봐요.	피곤한데 침대에 누울까 봐요.
지역 별 경선을 거쳐 대통령 후보를 선출하는 것은 당 내의 정치 지도자를 선출하는 방법을 결정하는데 큰 변화를 가져올 것이다.	지역별 경선을 거쳐 대통령 후보를 선출하는 것은 당 내의 정치 지도자를 선출하는 방법을 결정하는 데 큰 변화를 가져올 것이다.
자신이 자기의 능력을 평가절하시켜 스스로 자신에게 상처를 주어 패배를 자초하는 행동을 해서는 안된다.	자신이 자기의 능력을 평가절하시켜 스스로 자신에게 상처를 주어 패배를 자초하는 행동을 해서는 안 된다.
동생이 한국노래를 듣고있어요.	동생이 한국 노래를 듣고 있어요.
목공 철공 제화 인쇄 사진술 등이 한국인의 육체노동천시사상을 크게 개혁시킨 당시 Y공업학교의 교과목이었다.	목공 철공 제화 인쇄 사진술등이 한국인의 육체노동 천시사상을 크게 개혁시킨 당시 Y공업학교의 교과목이었다.
내일 날씨가 흐릴 것 같아여.	내일 날씨가 흐릴 것 같아요.
수업시간에 조용히 하지 않으면 안되요.	수업 시간에 조용히 하지 않으면 안 돼요.
당분간은 남에게 절대로 알릴 수 없는 비밀 안 이일에 흥분된 홍선은 자기의 몸을 바로잡지 못하였다.	당분간은 남에게 절대로 알릴 수 없는 비밀한 이 일에 흥분된 흥선은 자기의 몸을 바로잡지 못하였다.
소피아씨는 영어에 비하여 한국어를 더 잘해요.	소피아 씨는 영어에 비하여 한국어를 더 잘해요.
이 안경을 쓰고 보이는 대로 말씀해주십시오.	이 안경을 쓰고 보이는 대로 말씀해 주십시오.
마이클씨 내년에도 건강하기를 바랍니다.	마이클 씨 내년에도 건강하기를 바랍니다.
물 많은 채소를 밑에 깔고 천천히 끓이다 보면 제 물이 오러나오니 따로 국물을 붓지 않아도 된다.	물 많은 채소를 밑에 깔고 천천히 끓이다 보면 제물이 우러나오니 따로 국물을 붓지 않아도 된다.
된장찌개는 커녕 라면도 못끓인다.	된장찌개는커녕 라면도 못 끓인다.
네 여자친구에게로 돌아갔어요.	네 여자 친구에게로 돌아갔어요.
저도 점심을 거의 다 먹어가요.	저도 점심을 거의 다 먹어 가요.
앤디씨가 기차를 탈까여.	앤디 씨가 기차를 탈까요.
제가 주운 것은 지갑이에여.	제가 주운 것은 지갑이에요.
그에게 행운에 여신이 미소를 지었다.	그에게 행운의 여신이 미소를 지었다.
회사의 휴폐업 및 부도로 남편이 하루아침에 실직되었기 때문에 나라도 아이들 학비와 생활비를 벌기 위해 발벗고 나서야 한다.	회사의 휴폐업 및 부도로 남편이 하루 아침에 실직되었기 때문에 나라도 아이들 학비와 생활비를 벌기 위해 발벗고 나서야 한다.
너희들은 이번 계획이 밖으로 세어나가지 않도록 관련자들의 주둥아리를 잘 막아놓도록 해.	너희들은 이번 계획이 밖으로 새어 나가지 않도록 관련자들을 주둥아리를 잘 막아 놓도록 해.
그는 육군사관학교를 졸업하고 육군소위로 임관한 다음에 총사령관을 거쳐 장관직에 올랐다.	그는 육군사관학교를 졸업하고 육군 소위로 임관한 다음에 총사령관을 거쳐 장관직에 올랐다.
지진으로 인해 많은 사람들이 죽었다고 해요.	지진으로 인해 많은 사람이 죽었다고 해요.
아이가 우는 탓에 잠을 자기 어려? 어요.	아이가 우는 탓에 잠을 자기 어려웠어요.
영수는 다리를 다쳐서 걷지를 못해요.	영수는 다리를 다쳐서 걷지 못해요.
내일 6 시에 보기로 할까요.	내일 6시에 보기로 할까요.
제가 흐엉씨에 전화번호를 적어 두었던 수첩이 여기 있을거예요.	제가 흐엉 씨의 전화번호를 적어 두었던 수첩이 여기에 있을 거예요.
수학이며 영어며 과학이며 공부할 게 너무 많아요.	수학이며 영어며 과학이며 공부할 게 정말 많아요.
